Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League
vs Manchester City,30,26.2,38.7,38,418.0,3420,38.0,42.0,32.0,74.0,38.0,4.0,4.0,88.0,2.0,47.7,44.6,37.2,81.7,546.0,912.0,1.11,0.84,1.95,1.0,1.84,1.26,0.98,2.23,1.17,2.15,Premier League 2024-2025
vs Manchester Utd,31,26.4,46.5,38,418.0,3420,38.0,52.0,36.0,88.0,49.0,3.0,4.0,71.0,3.0,53.8,50.8,38.4,89.2,672.0,1184.0,1.37,0.95,2.32,1.29,2.24,1.42,1.01,2.43,1.34,2.35,Premier League 2024-2025
vs Newcastle Utd,24,26.3,48.7,38,418.0,3420,38.0,45.0,41.0,86.0,44.0,1.0,2.0,97.0,3.0,45.5,44.0,35.9,79.9,667.0,1273.0,1.18,1.08,2.26,1.16,2.24,1.2,0.94,2.14,1.16,2.1,Premier League 2024-2025
vs Nott'ham Forest,23,26.2,58.8,38,418.0,3420,38.0,46.0,35.0,81.0,43.0,3.0,3.0,104.0,2.0,48.9,46.5,35.2,81.7,966.0,1886.0,1.21,0.92,2.13,1.13,2.05,1.29,0.93,2.21,1.22,2.15,Premier League 2024-2025
vs Southampton,36,26.2,51.5,38,418.0,3420,38.0,86.0,61.0,147.0,79.0,7.0,9.0,54.0,1.0,84.8,77.9,63.0,140.9,814.0,1647.0,2.26,1.61,3.87,2.08,3.68,2.23,1.66,3.89,2.05,3.71,Premier League 2024-2025
vs Tottenham,31,26.2,45.3,38,418.0,3420,38.0,61.0,43.0,104.0,58.0,3.0,3.0,85.0,3.0,63.3,60.9,46.3,107.2,660.0,1330.0,1.61,1.13,2.74,1.53,2.66,1.67,1.22,2.88,1.6,2.82,Premier League 2024-2025
vs West Ham,27,26.1,51.6,38,418.0,3420,38.0,59.0,45.0,104.0,56.0,3.0,3.0,56.0,1.0,59.7,57.4,47.6,105.0,832.0,1622.0,1.55,1.18,2.74,1.47,2.66,1.57,1.25,2.82,1.51,2.76,Premier League 2024-2025
vs Wolves,32,26.2,51.9,38,418.0,3420,38.0,66.0,47.0,113.0,59.0,7.0,9.0,85.0,3.0,58.1,51.0,41.5,92.5,767.0,1534.0,1.74,1.24,2.97,1.55,2.79,1.53,1.09,2.62,1.34,2.44,Premier League 2024-2025
vs Alavés,29,26.9,54.7,38,418.0,3420,38.0,46.0,28.0,74.0,35.0,11.0,11.0,107.0,5.0,47.0,38.5,33.3,71.8,573.0,1323.0,1.21,0.74,1.95,0.92,1.66,1.24,0.88,2.11,1.01,1.89,La Liga 2024-2025
vs Athletic Club,31,26.6,51.6,38,418.0,3420,38.0,28.0,11.0,39.0,25.0,3.0,5.0,83.0,4.0,37.8,33.9,22.9,56.7,468.0,1177.0,0.74,0.29,1.03,0.66,0.95,0.99,0.6,1.6,0.89,1.49,La Liga 2024-2025
vs Atlético Madrid,24,26.8,47.4,38,418.0,3420,38.0,28.0,17.0,45.0,23.0,5.0,5.0,68.0,0.0,33.4,29.5,23.9,53.4,581.0,1543.0,0.74,0.45,1.18,0.61,1.05,0.88,0.63,1.51,0.78,1.4,La Liga 2024-2025
vs Barcelona,28,26.8,31.7,38,418.0,3420,38.0,39.0,31.0,70.0,35.0,4.0,4.0,89.0,2.0,41.9,38.8,32.6,71.4,406.0,780.0,1.03,0.82,1.84,0.92,1.74,1.1,0.86,1.96,1.02,1.88,La Liga 2024-2025
vs Betis,36,27.0,47.6,38,418.0,3420,38.0,49.0,32.0,81.0,45.0,4.0,4.0,102.0,7.0,50.6,47.4,38.4,85.9,611.0,1411.0,1.29,0.84,2.13,1.18,2.03,1.33,1.01,2.34,1.25,2.26,La Liga 2024-2025
vs Celta Vigo,30,26.7,46.4,38,418.0,3420,38.0,55.0,45.0,100.0,52.0,3.0,4.0,88.0,7.0,43.4,40.0,33.3,73.3,564.0,1222.0,1.45,1.18,2.63,1.37,2.55,1.14,0.88,2.02,1.05,1.93,La Liga 2024-2025
vs Espanyol,27,27.0,60.2,38,418.0,3420,38.0,50.0,39.0,89.0,46.0,4.0,6.0,66.0,2.0,53.8,49.0,39.6,88.6,838.0,1821.0,1.32,1.03,2.34,1.21,2.24,1.42,1.04,2.46,1.29,2.33,La Liga 2024-2025
vs Getafe,30,27.0,58.2,38,418.0,3420,38.0,39.0,21.0,60.0,31.0,8.0,9.0,101.0,5.0,46.2,39.4,31.3,70.7,499.0,1284.0,1.03,0.55,1.58,0.82,1.37,1.22,0.82,2.04,1.04,1.86,La Liga 2024-2025
vs Girona,30,26.9,43.7,38,418.0,3420,38.0,59.0,46.0,105.0,56.0,3.0,6.0,80.0,4.0,50.4,45.7,36.5,82.2,582.0,1183.0,1.55,1.21,2.76,1.47,2.68,1.33,0.96,2.29,1.2,2.16,La Liga 2024-2025
vs Las Palmas,34,26.8,49.3,38,418.0,3420,38.0,58.0,43.0,101.0,53.0,5.0,10.0,90.0,7.0,66.8,59.3,47.5,106.8,684.0,1470.0,1.53,1.13,2.66,1.39,2.53,1.76,1.25,3.01,1.56,2.81,La Liga 2024-2025
vs Leganés,26,26.8,57.4,38,418.0,3420,38.0,53.0,34.0,87.0,46.0,7.0,8.0,74.0,1.0,59.4,53.1,40.9,94.0,754.0,1675.0,1.39,0.89,2.29,1.21,2.11,1.56,1.08,2.64,1.4,2.47,La Liga 2024-2025
vs Mallorca,28,26.6,53.2,38,418.0,3420,38.0,43.0,31.0,74.0,40.0,3.0,3.0,70.0,2.0,46.8,44.5,36.0,80.5,693.0,1587.0,1.13,0.82,1.95,1.05,1.87,1.23,0.95,2.18,1.17,2.12,La Liga 2024-2025
vs Osasuna,25,26.7,53.9,38,418.0,3420,38.0,51.0,38.0,89.0,44.0,7.0,7.0,81.0,6.0,53.7,48.3,40.7,88.9,647.0,1546.0,1.34,1.0,2.34,1.16,2.16,1.41,1.07,2.48,1.27,2.34,La Liga 2024-2025
vs Rayo Vallecano,26,26.4,48.3,38,418.0,3420,38.0,44.0,33.0,77.0,38.0,6.0,8.0,78.0,4.0,49.0,42.7,33.0,75.7,613.0,1326.0,1.16,0.87,2.03,1.0,1.87,1.29,0.87,2.16,1.12,1.99,La Liga 2024-2025
vs Real Madrid,30,26.7,39.6,38,418.0,3420,38.0,37.0,27.0,64.0,34.0,3.0,3.0,89.0,6.0,42.8,40.8,32.0,72.8,648.0,1168.0,0.97,0.71,1.68,0.89,1.61,1.13,0.84,1.97,1.07,1.92,La Liga 2024-2025
vs Real Sociedad,31,26.8,46.2,38,418.0,3420,38.0,46.0,32.0,78.0,41.0,5.0,7.0,82.0,0.0,43.9,38.3,29.0,67.3,538.0,1141.0,1.21,0.84,2.05,1.08,1.92,1.16,0.76,1.92,1.01,1.77,La Liga 2024-2025
vs Sevilla,35,26.8,49.5,38,418.0,3420,38.0,54.0,37.0,91.0,49.0,5.0,6.0,93.0,4.0,47.4,42.7,34.0,76.7,551.0,1262.0,1.42,0.97,2.39,1.29,2.26,1.25,0.89,2.14,1.12,2.02,La Liga 2024-2025
vs Valencia,32,26.8,51.6,38,418.0,3420,38.0,51.0,38.0,89.0,45.0,6.0,9.0,86.0,3.0,51.9,44.9,37.2,82.0,589.0,1419.0,1.34,1.0,2.34,1.18,2.18,1.36,0.98,2.34,1.18,2.16,La Liga 2024-2025
vs Valladolid,38,27.0,57.2,38,418.0,3420,38.0,89.0,62.0,151.0,82.0,7.0,7.0,86.0,3.0,67.6,62.4,46.8,109.2,724.0,1753.0,2.34,1.63,3.97,2.16,3.79,1.78,1.23,3.01,1.64,2.87,La Liga 2024-2025
vs Villarreal,31,26.8,52.4,38,418.0,3420,38.0,50.0,28.0,78.0,43.0,7.0,8.0,99.0,7.0,44.4,38.2,28.5,66.7,720.0,1597.0,1.32,0.74,2.05,1.13,1.87,1.17,0.75,1.92,1.01,1.75,La Liga 2024-2025
vs Atalanta,32,26.2,44.7,38,418.0,3420,38.0,35.0,26.0,61.0,33.0,2.0,2.0,51.0,2.0,38.6,37.1,27.5,64.6,510.0,988.0,0.92,0.68,1.61,0.87,1.55,1.01,0.72,1.74,0.98,1.7,Serie A 2024-2025
vs Bologna,30,26.3,41.9,38,418.0,3420,38.0,45.0,32.0,77.0,43.0,2.0,3.0,95.0,3.0,36.7,34.3,25.4,59.7,440.0,876.0,1.18,0.84,2.03,1.13,1.97,0.96,0.67,1.63,0.9,1.57,Serie A 2024-2025
vs Cagliari,28,26.4,55.1,38,418.0,3420,38.0,56.0,40.0,96.0,50.0,6.0,6.0,61.0,5.0,55.3,51.1,40.2,91.3,756.0,1504.0,1.47,1.05,2.53,1.32,2.37,1.46,1.06,2.51,1.34,2.4,Serie A 2024-2025
vs Como,38,26.3,45.4,38,418.0,3420,38.0,52.0,35.0,87.0,45.0,7.0,7.0,95.0,5.0,43.0,37.6,28.9,66.5,539.0,1116.0,1.37,0.92,2.29,1.18,2.11,1.13,0.76,1.89,0.99,1.75,Serie A 2024-2025
vs Empoli,34,26.5,58.3,38,418.0,3420,38.0,58.0,48.0,106.0,57.0,1.0,3.0,58.0,3.0,50.1,47.7,37.2,84.9,588.0,1402.0,1.53,1.26,2.79,1.5,2.76,1.32,0.98,2.3,1.26,2.23,Serie A 2024-2025
vs Fiorentina,34,26.4,49.0,38,418.0,3420,38.0,40.0,29.0,69.0,39.0,1.0,3.0,92.0,7.0,42.8,40.4,30.5,70.9,675.0,1277.0,1.05,0.76,1.82,1.03,1.79,1.13,0.8,1.93,1.06,1.86,Serie A 2024-2025
vs Genoa,37,26.3,54.4,38,418.0,3420,38.0,46.0,31.0,77.0,40.0,6.0,8.0,75.0,2.0,47.2,41.1,33.9,75.0,609.0,1375.0,1.21,0.82,2.03,1.05,1.87,1.24,0.89,2.13,1.08,1.97,Serie A 2024-2025
vs Hellas Verona,32,26.2,61.3,38,418.0,3420,38.0,65.0,48.0,113.0,63.0,2.0,4.0,53.0,2.0,53.4,50.3,39.1,89.5,665.0,1593.0,1.71,1.26,2.97,1.66,2.92,1.41,1.03,2.44,1.32,2.35,Serie A 2024-2025
vs Inter,26,26.2,40.6,38,418.0,3420,38.0,34.0,22.0,56.0,31.0,3.0,4.0,52.0,4.0,36.4,33.1,25.5,58.6,631.0,1064.0,0.89,0.58,1.47,0.82,1.39,0.96,0.67,1.63,0.87,1.54,Serie A 2024-2025
vs Juventus,29,26.4,42.8,38,418.0,3420,38.0,35.0,22.0,57.0,30.0,5.0,5.0,73.0,2.0,34.0,30.1,21.4,51.5,540.0,1097.0,0.92,0.58,1.5,0.79,1.37,0.9,0.56,1.46,0.79,1.36,Serie A 2024-2025
vs Lazio,27,26.2,44.9,38,418.0,3420,38.0,47.0,34.0,81.0,43.0,4.0,4.0,116.0,14.0,37.7,34.7,28.2,62.8,548.0,1133.0,1.24,0.89,2.13,1.13,2.03,0.99,0.74,1.73,0.91,1.65,Serie A 2024-2025
vs Lecce,31,26.4,56.2,38,418.0,3420,38.0,55.0,37.0,92.0,47.0,8.0,10.0,81.0,5.0,57.1,49.6,37.8,87.4,654.0,1685.0,1.45,0.97,2.42,1.24,2.21,1.5,1.0,2.5,1.31,2.3,Serie A 2024-2025
vs Milan,35,26.4,46.1,38,418.0,3420,38.0,40.0,35.0,75.0,39.0,1.0,2.0,75.0,3.0,41.3,39.7,33.5,73.2,618.0,1228.0,1.05,0.92,1.97,1.03,1.95,1.09,0.88,1.97,1.05,1.93,Serie A 2024-2025
vs Monza,36,26.2,51.5,38,418.0,3420,38.0,66.0,54.0,120.0,64.0,2.0,4.0,63.0,2.0,54.7,51.6,41.7,93.4,699.0,1599.0,1.74,1.42,3.16,1.68,3.11,1.44,1.1,2.54,1.36,2.46,Serie A 2024-2025
vs Napoli,27,26.0,45.4,38,418.0,3420,38.0,25.0,18.0,43.0,24.0,1.0,4.0,72.0,1.0,29.6,26.3,21.7,48.0,537.0,1142.0,0.66,0.47,1.13,0.63,1.11,0.78,0.57,1.35,0.69,1.26,Serie A 2024-2025
vs Parma,32,26.4,55.8,38,418.0,3420,38.0,56.0,42.0,98.0,51.0,5.0,5.0,80.0,3.0,56.4,52.6,41.7,94.3,822.0,1761.0,1.47,1.11,2.58,1.34,2.45,1.49,1.1,2.58,1.38,2.48,Serie A 2024-2025
vs Roma,28,26.3,46.1,38,418.0,3420,38.0,34.0,21.0,55.0,30.0,4.0,4.0,87.0,6.0,40.9,37.7,26.7,64.4,668.0,1278.0,0.89,0.55,1.45,0.79,1.34,1.08,0.7,1.78,0.99,1.7,Serie A 2024-2025
vs Torino,31,26.3,52.5,38,418.0,3420,38.0,43.0,30.0,73.0,40.0,3.0,7.0,63.0,1.0,50.4,44.9,34.7,79.7,722.0,1346.0,1.13,0.79,1.92,1.05,1.84,1.33,0.91,2.24,1.18,2.1,Serie A 2024-2025
vs Udinese,31,26.5,52.8,38,418.0,3420,38.0,51.0,30.0,81.0,44.0,7.0,8.0,61.0,5.0,52.6,46.5,35.6,82.1,582.0,1282.0,1.34,0.79,2.13,1.16,1.95,1.39,0.94,2.32,1.22,2.16,Serie A 2024-2025
vs Venezia,36,26.4,54.9,38,418.0,3420,38.0,53.0,35.0,88.0,43.0,10.0,11.0,70.0,2.0,57.5,48.9,39.3,88.2,719.0,1397.0,1.39,0.92,2.32,1.13,2.05,1.51,1.03,2.55,1.29,2.32,Serie A 2024-2025
vs Angers,30,25.9,58.8,34,374.0,3060,34.0,53.0,40.0,93.0,49.0,4.0,5.0,79.0,7.0,57.8,53.9,42.2,96.0,784.0,1776.0,1.56,1.18,2.74,1.44,2.62,1.7,1.24,2.94,1.58,2.82,Ligue 1 2024-2025
vs Auxerre,29,25.9,57.5,34,374.0,3060,34.0,48.0,36.0,84.0,42.0,6.0,8.0,50.0,4.0,58.6,52.3,43.9,96.3,645.0,1522.0,1.41,1.06,2.47,1.24,2.29,1.72,1.29,3.02,1.54,2.83,Ligue 1 2024-2025
vs Brest,30,25.7,51.6,34,374.0,3060,34.0,57.0,39.0,96.0,49.0,8.0,10.0,63.0,2.0,57.4,50.0,38.5,88.5,559.0,1521.0,1.68,1.15,2.82,1.44,2.59,1.69,1.13,2.82,1.47,2.6,Ligue 1 2024-2025
vs Le Havre,31,25.9,56.9,34,374.0,3060,34.0,70.0,50.0,120.0,65.0,5.0,6.0,68.0,6.0,62.8,58.5,45.3,103.8,633.0,1639.0,2.06,1.47,3.53,1.91,3.38,1.85,1.33,3.18,1.72,3.05,Ligue 1 2024-2025
vs Lens,33,25.9,45.9,34,374.0,3060,34.0,39.0,25.0,64.0,31.0,8.0,9.0,62.0,2.0,45.3,38.3,29.7,68.0,585.0,1095.0,1.15,0.74,1.88,0.91,1.65,1.33,0.87,2.2,1.13,2.0,Ligue 1 2024-2025
vs Lille,27,25.9,42.4,34,374.0,3060,34.0,35.0,23.0,58.0,31.0,4.0,4.0,63.0,8.0,42.5,39.4,29.0,68.4,503.0,945.0,1.03,0.68,1.71,0.91,1.59,1.25,0.85,2.1,1.16,2.01,Ligue 1 2024-2025
vs Lyon,31,25.7,43.6,34,374.0,3060,34.0,46.0,32.0,78.0,43.0,3.0,3.0,71.0,3.0,45.7,43.3,33.0,76.4,624.0,1135.0,1.35,0.94,2.29,1.26,2.21,1.34,0.97,2.32,1.27,2.25,Ligue 1 2024-2025
vs Marseille,32,25.9,36.7,34,374.0,3060,34.0,45.0,35.0,80.0,42.0,3.0,6.0,61.0,3.0,45.2,40.9,31.5,72.4,436.0,872.0,1.32,1.03,2.35,1.24,2.26,1.33,0.93,2.26,1.2,2.13,Ligue 1 2024-2025
vs Monaco,28,26.1,45.0,34,374.0,3060,34.0,41.0,30.0,71.0,38.0,3.0,3.0,70.0,3.0,34.8,32.7,26.4,59.1,549.0,1218.0,1.21,0.88,2.09,1.12,2.0,1.02,0.78,1.8,0.96,1.74,Ligue 1 2024-2025
vs Montpellier,35,25.7,54.7,34,374.0,3060,34.0,76.0,58.0,134.0,68.0,8.0,9.0,70.0,2.0,63.3,56.1,44.1,100.2,632.0,1461.0,2.24,1.71,3.94,2.0,3.71,1.86,1.3,3.16,1.65,2.95,Ligue 1 2024-2025
vs Nantes,30,25.6,59.6,34,374.0,3060,34.0,49.0,33.0,82.0,42.0,7.0,8.0,55.0,5.0,55.5,49.3,39.3,88.7,715.0,1728.0,1.44,0.97,2.41,1.24,2.21,1.63,1.16,2.79,1.45,2.61,Ligue 1 2024-2025
vs Nice,31,25.8,52.5,34,374.0,3060,34.0,40.0,30.0,70.0,38.0,2.0,3.0,72.0,4.0,40.2,38.0,31.2,69.2,618.0,1314.0,1.18,0.88,2.06,1.12,2.0,1.18,0.92,2.1,1.12,2.04,Ligue 1 2024-2025
vs Paris S-G,28,25.8,32.0,34,374.0,3060,34.0,34.0,22.0,56.0,31.0,3.0,3.0,61.0,2.0,31.2,29.0,22.7,51.6,467.0,874.0,1.0,0.65,1.65,0.91,1.56,0.92,0.67,1.58,0.85,1.52,Ligue 1 2024-2025
vs Reims,34,25.9,55.9,34,374.0,3060,34.0,47.0,32.0,79.0,43.0,4.0,5.0,49.0,3.0,57.4,53.5,40.5,94.1,663.0,1636.0,1.38,0.94,2.32,1.26,2.21,1.69,1.19,2.88,1.57,2.77,Ligue 1 2024-2025
vs Rennes,35,25.8,49.1,34,374.0,3060,34.0,48.0,37.0,85.0,45.0,3.0,6.0,68.0,6.0,46.0,41.4,33.7,75.2,575.0,1144.0,1.41,1.09,2.5,1.32,2.41,1.35,0.99,2.35,1.22,2.21,Ligue 1 2024-2025
vs Saint-Étienne,32,25.8,52.9,34,374.0,3060,34.0,75.0,41.0,116.0,62.0,13.0,15.0,55.0,1.0,74.3,62.3,47.2,109.5,714.0,1467.0,2.21,1.21,3.41,1.82,3.03,2.18,1.39,3.57,1.83,3.22,Ligue 1 2024-2025
vs Strasbourg,30,25.9,49.9,34,374.0,3060,34.0,42.0,21.0,63.0,34.0,8.0,9.0,72.0,2.0,56.1,49.3,39.1,88.3,537.0,1361.0,1.24,0.62,1.85,1.0,1.62,1.65,1.15,2.8,1.45,2.6,Ligue 1 2024-2025
vs Toulouse,27,25.8,55.0,34,374.0,3060,34.0,40.0,28.0,68.0,39.0,1.0,2.0,77.0,3.0,36.8,35.2,26.0,61.2,589.0,1326.0,1.18,0.82,2.0,1.15,1.97,1.08,0.77,1.85,1.03,1.8,Ligue 1 2024-2025
vs Ajax,37,25.1,42.4,34,374.0,3060,34.0,31.0,22.0,53.0,31.0,0.0,0.0,59.0,5.0,31.5,31.5,24.3,55.8,469.0,950.0,0.91,0.65,1.56,0.91,1.56,0.93,0.72,1.64,0.93,1.64,Eredivisie 2024-2025
